file,cellLine,treatment,target,replicate
./peaks/PDX_145_FOXA_1_R1_peaks.broadPeak,PDX_145,WT,FOXA1,1
./peaks/PDX_145_FOXA_2_R1_peaks.broadPeak,PDX_145,WT,FOXA2,1
./peaks/PDX_145_IGG_R1_peaks.broadPeak,PDX_145,WT,IGG,1
