q_Value,Difference,stat,gene_name
0.034603661,0.896032969,1.937036739,SERPINB6
0.36310104,0.23885409,0.78536238,ENAH
0.788698533,0.19910876,0.320015432,PSMB3
0.846773376,0.43486468,0.241240327,MTHFD1L
0.008516378,0.654301325,2.951331845,LRMDA
0.004047562,0.829467773,3.94503286,VPS11
1,0,NaN,STOML2
0.007430636,1.942520142,3.141797196,ANK3
0.1983573,0.522955577,1.054070745,HMGN3
0.007084444,-0.870300611,-3.183833905,TJP1
0.019858691,3.153820674,2.23760326,CYP2D6;CYP2D7
0.22741139,0.688891093,0.994176212,DOCK1
0.616404518,-0.112932205,-0.520705014,GPS1
0.003618442,-0.884933154,-4.530782786,AAK1
0.258663929,-0.26636823,-0.939028236,CD99
0.007864956,0.827704748,3.040533386,GSTZ1
0.684288508,0.166823387,0.44383873,FDXR
0.007717087,0.796660741,3.095728256,RNF213
0.588956687,-0.28519694,-0.549438322,NAA15
0.065434644,0.26944224,1.598711562,GATD3;GATD3B
0.989649752,0.008006414,0.01599131,PIGBOS1
0.930452421,-0.043938001,-0.115684164,KDM4B
0.174104543,-0.278387705,-1.111442146,DDX46
0.075077623,0.402207692,1.529211672,PPA2
0.111086947,0.348373731,1.328766091,EPB41L1
0.428408465,0.390741984,0.708167165,RNASEK
0.00499321,1.68663915,3.629391237,HLA-C
0.624365273,0.156984329,0.512436566,RPP21
0.013056751,2.132189115,2.523958014,HLA-A
0.649289836,0.174683253,0.48368709,VARS2
0.002984615,3.461022695,6.451552475,C4A
0.004119205,2.58753713,3.827003275,HLA-C
0.214050342,0.21053346,1.020920758,CYFIP1
0.550365016,0.414702415,0.586193245,PON2
0.251422176,-0.282261213,-0.949819037,NSF
0.074313486,-0.430880864,-1.536183371,SH3D19
0.093037802,0.327700615,1.421933817,DST
0.003109005,0.99724102,5.343400101,EIF4G3
0.630205263,0.214063327,0.505001757,ERVK3-1
0.040541523,0.683408419,1.849139094,SEC24C
0.062435814,1.017686208,1.622673088,MMP24OS
0.015940487,-1.765934626,-2.400964424,FERMT2
0.089108826,1.330511729,1.445429988,HLA-DQB1
0.007942268,1.139450391,3.062657945,HLA-A
0.001255814,2.479879379,9.45995153,HLA-B
0.004045872,1.845377604,3.888669022,HLA-C
0.010260022,-1.134593328,-2.694975381,TXNRD1
0.968980883,0.020936648,0.05485008,RAB11FIP5
0.994637757,-0.001747131,-0.007385466,PXN
0.989440438,0.004846255,0.016251934,IRAG2
0.937708726,0.055283229,0.104940495,GRAMD1B
0.290234127,0.154717763,0.886015526,RALGAPA1
0.98125283,-0.008971214,-0.031331751,FAM193A
0.074036197,-0.264550527,-1.537831167,PLEKHA6
0.111234323,0.897954305,1.328185963,DPY19L1
0.085670543,-0.857397397,-1.465660549,PLCXD2
0.226859571,0.193655332,0.995476722,BAG6
0.003195266,-0.778575261,-4.952263303,DPYSL2
0.772934307,-0.437402725,-0.340496215,HLA-C
0.30465098,1.23510774,0.865842415,PIGT
0.323876282,0.990407626,0.836486182,PHLDB2
0.194965836,1.038574537,1.06264178,ENSA
0.02695389,0.886607806,2.073176439,RPS7
0.012157763,-0.576059977,-2.56446095,EPB41
0.659274275,-0.25290362,-0.471829803,BPTF
0.588107317,-0.16550223,-0.550693738,BRAF
0.067378784,0.428249677,1.584628143,ATXN2
0.117235307,-0.33672905,-1.306293764,ACTB
0.097769977,0.611284892,1.396694779,RAPGEF2
0.845419764,0.112068176,0.243335691,KCTD1
0.335190883,1.44224898,0.819751507,MCTS2
0.046079232,-0.990345955,-1.785262919,QSER1
0.034852405,1.757646561,1.931660422,IQSEC1
0.19918726,-0.481144587,-1.051829252,LARP1B
0.624567046,0.222562154,0.511981829,ANKS1A
0.127628944,-0.491948446,-1.264620552,VKORC1L1
0.02313275,0.623448054,2.1567541,HNRNPL
0.040142228,-1.245779037,-1.855650303,RAB12
0.03073218,-0.388112386,-1.999461581,MPRIP
0.642956975,-0.200994492,-0.490147949,EEF1AKMT2
0.003133929,-1.284260432,-5.189534072,CLUH
0.540976273,0.225292524,0.596322932,FAM120A
0.273823391,0.233440399,0.913778734,PDIA4
0.702809834,0.241666158,0.423569927,TSNARE1
0.710482776,0.43550396,0.414846579,LRP8
0.741081598,-0.202366193,-0.380447272,SPCS1
0.065427584,-0.726352056,-1.598790631,SAMD8
0.021515152,-1.27015082,-2.18922854,ADK
0.082495601,1.156312625,1.480268371,CAST
0.051778286,-1.226620038,-1.712722877,EIF3E
0.007805825,-0.781830788,-3.077214697,WDR26
0.017668504,0.749118169,2.310180438,G3BP2
0.910546554,-0.071027756,-0.148907917,MACROH2A2
0.233485614,-0.615914981,-0.982108935,DNMT1
0.827625344,-0.052941322,-0.267758651,ACTN1
0.009189573,2.842469851,2.834205446,EIF3E
0.106297243,-0.317028364,-1.354834768,IMPDH2
0.007497872,0.56712691,3.121543408,PRPF40A
1,0,NaN,IFIT3
0.166658462,0.643872261,1.131909525,OAS1
0.005576182,1.464473406,3.465386807,CTSZ
0.003037037,1.356951396,5.305297253,CIC
0.845291303,0.217738787,0.243899931,LOC122539214
0.003546512,3.625434875,5.771184704,
0.174127708,0.865087191,1.111295544,IFIT5
0.917010097,-0.025667508,-0.138002655,PTPA
0.351020523,-0.213624954,-0.800038928,PKM
0.948689829,0.022965431,0.088054709,MYCBP2
0.018247362,2.023263931,2.300600677,ACTN1
0.368787664,-0.246232351,-0.776039858,SACS
0.916350349,-0.044481913,-0.138943408,MAP4
0.890761412,-0.14927578,-0.181800065,MGA
0.040553499,-0.437395414,-1.850176138,SEC16A
0.602110545,0.101869583,0.535757354,GOLGA2
0.005655293,0.710402489,3.463678308,EIF4E2
0.105292155,1.089993477,1.36060821,USP54
0.0441972,0.442627907,1.808487141,PLEC
0.080289655,-0.592928569,-1.493072801,NKRF
0.27511343,-0.864772161,-0.911587892,CDV3
0.140022918,0.586133957,1.220647077,TANC2
0.00586132,-2.229382038,-3.386978098,ATE1
0.108705882,-0.331831932,-1.340646005,CD55
0.018987067,0.730413119,2.281317142,G6PD
0.101263543,0.576487859,1.380223506,LIMS1
0.030835233,-1.99818929,-1.996019578,SFPQ
0.164833816,-0.590704918,-1.137236391,MSN;RDX
0.202723559,0.557267189,1.04473083,LRRFIP1
0.004510288,0.8501695,3.71170529,FXR1
0.413896248,-0.314387957,-0.723700722,ARF1
0.866882826,-0.05527401,-0.214417314,GULP1
0.044309654,0.496212324,1.805778689,GLS
0.044068251,3.216540655,1.809490599,HNRNPD
0.994508522,0.002454122,0.00770778,HUWE1
0.433532743,-0.433036168,-0.702542494,H1-10
0.936205313,-0.023243586,-0.106901882,USP9X
0.47520357,-0.315127373,-0.660674737,SRRM1
0.135918097,0.273643812,1.235102041,EPS15
0.342467549,-0.172203064,-0.810473864,EPB41L2
0.065989401,-1.530790011,-1.594568805,PPP2R1A
0.030217739,1.510300636,2.011240991,HMGA1
0.068953677,-0.402076085,-1.571620424,HK1
0.640389542,-0.483818054,-0.493567329,NPLOC4
0.058425179,-0.740034739,-1.658267497,KHDRBS3
0.110693698,-0.318038623,-1.331116382,FXR2
0.68956502,-0.135699908,-0.437334059,VASP
0.007640736,1.631080627,3.116762655,NLRX1
0.993756029,0.009813309,0.008833579,UBAP2L
0.791893843,0.149864515,0.31560303,ADO
0.520101685,0.107372602,0.616926751,RBM47
0.741871757,0.080172221,0.379028217,IFT56
0.540083287,0.358207703,0.597320357,TMEM129
0.209103473,0.490710258,1.030396129,E2F8
0.155933923,-0.205516815,-1.16413933,UBA6
0.147481289,-0.562581062,-1.192145803,ESYT2
0.349495532,-0.385186513,-0.801669047,ESYT2
0.976631493,-0.008922895,-0.041704561,MED19
0.067892801,-0.280716578,-1.580350075,BLTP3B
0.002842553,-1.254017194,-6.728869695,SHTN1
0.074025987,0.43863074,1.537648009,TMEM223
0.091712864,-0.546215693,-1.430760988,SHISA3
0.117184479,0.753077189,1.30611747,TMEM120B
0.687504878,0.12116464,0.440409972,ARHGAP10
0.652074708,0.28791364,0.480459384,ANO9
0.711532111,-0.277157148,-0.413594929,SLC22A23
0.003550898,1.152097702,4.412565333,ARHGEF37
0.007513859,-0.691793124,-3.122704489,MEX3A
0.330213456,0.401351293,0.827273528,ILVBL
0.178398489,0.783754031,1.100916968,C1orf226
0.219403145,0.255669912,1.009852807,NDUFAF8
0.09707888,0.22371769,1.399502889,PLEKHG3
0.019653086,-0.675307592,-2.242199594,SH3PXD2B
0.003523511,1.306776365,5.94400056,MACROD2
0.387339628,0.219409943,0.754539991,PTPDC1
0.398070133,-0.169489861,-0.741611283,BCLAF3
0.084984944,0.211976369,1.469017116,NBAS
0.660746845,-0.122713725,-0.469908674,TARS3
0.003535022,0.969593048,4.405844768,HYKK
0.20626974,0.336632729,1.03649708,FAM234B
0.188040291,0.173024178,1.07835596,TYW5
0.003899441,-0.638595899,-4.286935326,DENND3
0.190785807,-0.654706637,-1.07215355,FUOM
0.363034633,0.372055689,0.785677976,TMEM131L
0.143392344,0.23009491,1.207698166,VWA8
0.026460073,-0.581831614,-2.088916884,SBNO1
0.880798582,-0.123480479,-0.195788944,CRPPA
0.917986692,-0.044322968,-0.136309009,FAM221A
0.892537169,0.039879799,0.178832836,GTPBP10
0.243443713,0.176801999,0.962832503,WDR91
0.024750654,0.788423856,2.126450581,RAB19
0.027981501,0.442611059,2.048130464,DENND11
0.163740039,0.257790248,1.14035568,MBLAC1
0.898342551,0.128804843,0.170269248,MTMR11
0.013292929,0.44647789,2.507471694,VPS37C
1,0,NaN,PEDS1
0.88657918,0.043827057,0.187616919,TRAPPC13
0.378578036,0.125738144,0.76447553,CNOT1
0.047773495,0.518753052,1.769010053,ARHGEF35
0.104771771,-0.528053919,-1.364036252,MAP1LC3B;MAP1LC3B2
0.2264907,-1.03619353,-0.996038205,C2orf72
0.020089528,-2.374660492,-2.230946728,PALM3
0.09021681,-0.273602168,-1.439893943,PGP
0.003495702,0.818522771,5.757171674,RIMOC1
0.785466366,0.171135902,0.324714345,RCCD1
0.915149156,-0.060674349,-0.140609796,ZNF316
0.078114314,0.2831707,1.507399651,TCAF2
0.004329843,-0.828705152,-4.125545923,WIPF3
0.077088995,0.773444176,1.516696407,TLCD2
1,0,NaN,GGT1;GGT3P
0.629680885,0.1948843,0.505609423,TUBAL3
0.889972705,-0.038604101,-0.182953066,SMCHD1
0.110377949,-0.350051244,-1.332175226,CASTOR2
0.713595416,0.069542885,0.411475757,ARHGAP42
