Gene names,F1,F2,Category
CSTB,1.319220861,0.424069722,NA
ZBTB39,1.317572276,1.525496165,NA
ESRP1,1.313561757,1.350020727,NA
ACTR2,1.308492025,1.417687098,NA
HSP90B1,1.301849365,1.640357971,NA
UBN1,1.298723221,2.272672017,NA
EXOC4,1.280043284,2.106719971,NA
EIF3L,1.271143595,0.973758698,NA
ACBD3,1.266656876,1.059157054,NA
USP11,1.258111954,2.413967133,NA
BMI1;COMMD3-BMI1,1.256159465,1.892692566,NA
MLEC,1.247608185,1.315895716,NA
TM9SF2,1.246482213,0.806748708,NA
SMARCC2,1.240942001,1.531698227,NA
CENPC,1.239991506,1.356435776,NA
EHF,1.23793602,1.484409968,NA
SEC23B,1.237213771,1.106238047,NA
EIF2AK2,1.236950556,1.181844711,NA
USMG5,1.232297262,1.339201609,NA
DNTTIP1,1.231117884,2.089162191,NA
DHRS13,1.223061879,1.319274267,NA
ZNF174,1.221949259,1.761056264,NA
GATAD2A,1.207410177,1.815525691,NA
STAG1;DKFZp781D1416,1.205186208,1.159425735,NA
RAI1,1.204593023,1.128236771,NA
ZNF148,1.20446078,1.904660543,NA
GNL3L,1.194646835,1.032314936,NA
ZNF462,1.193790436,1.618022283,NA
VEZF1,1.18271637,2.016995748,NA
KDELR2,1.177631378,0.889939626,NA
OAS3,1.169346491,2.823270798,NA
HIVEP2,1.168371836,1.292547862,NA
CHD7,1.165763855,0.778494517,NA
PIGQ,1.160168966,0.939159393,NA
CTBP2,1.156804403,1.522125244,NA
RAE1,1.147642771,1.548511505,NA
SEC61B,1.147602081,1.711287181,NA
HLTF,1.145395915,1.435276667,NA
CKMT1A;CKMT1B,1.140406926,1.136315028,NA
DNAJA1,1.121294657,1.23296992,NA
RCOR1,1.09326299,1.729206085,NA
PELO,1.083817164,0.741181056,NA
ZNF292,1.081354777,2.247318268,NA
GTF2A1,1.078952789,0.875123342,NA
DIS3,1.071947734,1.22622172,NA
ATL3,1.068396886,1.339136759,NA
KLK7,1.062225342,0.01639239,NA
ZMYM1,1.053428014,0.593196869,NA
2-Sep,1.052745819,2.200670242,NA
NME1,1.047302246,1.518604914,NA
DYNC1H1,1.047101339,1.124866486,NA
BRD4,1.045578003,1.810077031,NA
CEP112,1.042355855,1.723122915,NA
ERCC4,1.042212168,1.07823499,NA
MED15,1.041659673,2.03853035,NA
MYO1B,1.04082044,-0.2511247,NA
GATAD2B,1.040400823,1.518252691,NA
BRD7,1.039396922,1.79034996,NA
EIF3D,1.038097382,1.211829503,NA
COPG1,1.03654925,0.957622528,NA
MAGEA4;MAGEA10,1.03390948,1.379531225,NA
TRIM24,1.033164342,1.533958435,Lineage Specific
DRG1,1.029758453,1.312952677,NA
NFXL1,1.024882634,1.286305745,NA
CCT3,1.024507523,1.516977946,NA
PEX3,1.013439814,-0.010688782,NA
APOD,1.008206685,0.598065694,NA
RPS17,1.007873535,-0.655965169,NA
PDIA3,1.007478078,1.938872019,NA
ALG3,1.006239573,0.60643959,NA
STAG2,1.002155304,1.205669403,NA
MED12;TNRC11,0.986678441,1.472597758,NA
ASCC3,0.982175191,0.831139882,NA
9-Sep,0.973806381,0.952285131,NA
SLC35B2,0.973477681,0.803263982,NA
PDIA5,0.968992869,0.984275182,NA
SURF6,0.953001022,-0.935799281,NA
CDS2,0.950146993,1.653470357,NA
FARSA,0.947177887,1.56199646,NA
RAVER1,0.942966461,1.667907715,NA
ARF4,0.940291723,0.556091309,NA
TCP1,0.937639872,1.428110758,NA
SMARCD2,0.935568492,0.78289477,NA
5-Mar,0.92737325,0.869028727,NA
DCAF7,0.927113215,1.04477183,NA
H1FX,0.925856272,-0.37442716,NA
COL1A1,0.923798243,1.163469315,NA
GTPBP8,0.921140671,1.075425466,NA
SMC2,0.918571472,0.313375473,NA
NPLOC4,0.918017069,2.507951736,NA
TRA2A,0.914459864,1.404584885,NA
GRB10,0.911070506,2.593465805,NA
CDC42,0.908274968,0.875790278,NA
LRIF1,0.89271609,1.643163045,NA
EPC1,0.891573588,1.538655599,NA
COPB1,0.889908473,0.758739471,NA
SRP68,0.883979162,0.894060135,NA
PHC3,0.883245468,1.401440303,NA
PRKACB;PRKACA,0.876713435,0.826313655,NA
ARHGAP23,0.873755773,1.335894903,NA
RBM33,0.872367223,3.876935959,NA
CKAP5,0.865846634,0.50561142,NA
NFRKB,0.858551661,1.901578903,NA
SMC5,0.856688182,1.086581548,NA
CCT4,0.851474762,1.391525269,NA
PHC1,0.84915034,1.595472336,NA
ATP6V0D1,0.840527852,0.741965612,NA
THOC3,0.837024053,1.30888621,NA
NSD1,0.834730784,1.412456512,NA
ABHD12,0.830053965,1.809019089,NA
MLLT6,0.82886378,1.966327667,NA
CLTA,0.82763799,0.203692118,NA
SPTLC1,0.826751073,0.741805394,NA
PDIA6,0.826080958,0.720232646,NA
LENG8,0.823699315,1.209332784,NA
AP1S1,0.823631922,0.61464564,NA
VRK2,0.821930567,0.804294586,NA
MGA,0.819829305,0.330112457,NA
MAN1A2,0.818559011,0.984364192,NA
ZFPL1,0.817904154,0.925853729,NA
SPCS2,0.815759659,0.40655454,NA
SMARCC1,0.812481562,1.431833903,NA
CCT6A,0.809943517,1.959248861,NA
PHIP,0.807729085,1.193737666,NA
COPB2,0.803770065,1.103650411,NA
RECQL,0.799562454,1.475909551,NA
ACTL6A,0.792540232,1.73854955,NA
ZBTB7B,0.791653315,1.307287852,NA
PI4KA,0.788130442,1.493443807,NA
EEF1G,0.773626963,0.937325795,NA
HCFC2,0.769704183,0.980389913,NA
TUBA4A,0.759961446,1.344768524,NA
CDK13,0.757568359,0.729527791,NA
MPG,0.757075628,1.343553543,NA
ELOVL1,0.753848394,0.854469299,NA
CTBP1,0.746958415,1.220998764,NA
COPA,0.741006851,0.637947083,NA
CAPN1,0.73747762,0.74742953,NA
NELFB,0.737321854,0.630448659,NA
HSPA6;HSPA7,0.737094879,0.965771993,NA
HIRA,0.736337026,0.8469944,NA
EXOSC2,0.735014598,0.818141301,NA
VPS35,0.730967204,0.98480161,NA
ZMYM2,0.7306633,1.299917221,NA
FADS2,0.730335236,1.101124446,NA
SLC27A4,0.729390462,0.712073644,NA
AP1G1,0.728449504,0.390429179,NA
GTF2I,0.725976944,1.461565653,NA
EEF1A2,0.725597382,1.34078153,NA
KRT76,0.724837621,-0.337194443,NA
CLN6,0.717209498,0.59120814,NA
RCC2,0.709003448,1.294526418,NA
ARL1,0.70284462,0.579682668,NA
TUBB8,0.700468063,0.659279505,NA
ZNF644,0.697202047,1.991975784,NA
ATP5B,0.696814219,-0.04655838,NA
RBM47,0.695475896,1.271099726,NA
ARCN1,0.693752289,0.717914581,NA
C5orf24,0.69025294,1.220347087,NA
KDM1A,0.681048075,1.167022705,NA
SPATA7,0.679340998,0.131928762,NA
C19orf52,0.677906672,0.189350764,NA
LRBA,0.677765528,1.773604711,NA
ZHX1,0.676909765,2.402647018,NA
ANXA7,0.676596959,0.616107941,NA
CPNE3,0.671257655,0.551180522,NA
RTCB,0.66686058,0.425506592,NA
TMEM256,0.665348053,0.431442897,NA
ARPC1A;ARPC1B,0.664456685,1.113201777,NA
QARS,0.663291931,0.798749924,NA
FLII,0.661181132,-0.039543152,NA
ELOVL5,0.660629908,0.219942729,NA
EMC8,0.658917745,0.487002691,NA
SNX27,0.658762614,1.395560582,NA
PRPS1;PRPS1L1;PRPS2,0.656668345,0.935777028,NA
PLK1,0.655192057,0.760725657,NA
CNNM4,0.654632568,0.764624914,NA
PRRC2B,0.651896795,1.118471146,NA
MAZ,0.651758194,0.591639837,NA
MTA3,0.651615143,1.460849762,NA
PAXIP1,0.650931676,1.867261251,NA
TFAP2D,0.640783946,0.920226415,NA
LCN1,0.638782501,-0.596258799,NA
CYFIP1,0.638353348,0.790186564,NA
LCOR,0.63499705,3.470430374,NA
PHF2,0.634200414,1.687629064,NA
SMARCD3,0.633721034,2.293223699,NA
ESYT2,0.630524317,0.465545019,NA
INTS9,0.630350113,0.863077164,NA
TAF4,0.625983556,1.592625936,NA
ANXA1,0.625619253,0.356205622,NA
ERMP1,0.624729156,1.12694486,NA
TMED7-TICAM2;TMED7,0.623922348,0.991207759,NA
