q_Value,Difference,stat,gene_name
0.156578122,0.114826202,1.000315517,CRAT
0.389597413,0.114720345,0.608548099,KDM8
0.175816374,0.114700953,0.954097655,SMG1
0.320266049,0.11461544,0.693180389,DCUN1D2
0.305651426,0.114602089,0.713439051,SAP30BP
0.284447683,0.114536921,0.744211214,HDAC8
0.136452919,0.114488602,1.063149052,ENO1
0.376238778,0.11448288,0.623494135,NDUFC2
0.49403338,0.114238103,0.501847421,PKD2
0.321435931,0.114197731,0.69140293,IMPDH1
0.327158171,0.114034335,0.683583824,ANGEL2
0.304087927,0.114014308,0.71549827,DNM1L
0.316567437,0.11399587,0.697930776,MRPS23
0.532398018,0.113822301,0.465993274,PRNP
0.246095308,0.113768895,0.809285556,AFG3L2
0.570394126,0.11373806,0.430171316,DCBLD1
0.345348134,0.113710086,0.659936805,PHYHD1
0.698388517,0.113623301,0.309773914,AFP
0.252335933,0.113447507,0.797752244,SCRN3
0.292151916,0.11318779,0.733322845,MRPL49
0.216232213,0.113172531,0.867755009,ABAT
0.610264973,0.113133113,0.392249327,MRPL55
0.350232171,0.113114039,0.653493345,PELO
0.689542934,0.113112132,0.3172179,HSPE1
0.150524184,0.113066355,1.017666918,ALDH5A1
0.196212411,0.11306572,0.910895602,PRMT5
0.435202963,0.112891515,0.560859188,WDR41
0.252285196,0.112868627,0.797800305,FNTB
0.52096,0.112831434,0.475540111,ETV6
0.299086979,0.112824122,0.722919952,TXNDC5
0.374598157,0.112822851,0.625380875,PUS3
0.2988299,0.112808863,0.723396882,RCC1L
0.19694816,0.112771352,0.90968727,TFRC
0.37637757,0.11266613,0.623171597,GGNBP2
0.318718434,0.112606049,0.69541582,HINT3
0.190737621,0.112582525,0.92254569,UAP1
0.182734771,0.112576803,0.940434033,NEK9
0.183691858,0.112553914,0.937668554,WASHC4
0.316260942,0.112507502,0.698253502,GPR107
0.264942852,0.112455686,0.774972714,B4GAT1
0.175339403,0.112450282,0.955330354,NUP160
0.227598384,0.112340291,0.847553027,SYK
0.713316956,0.112264315,0.29589831,DOLK
0.716765272,0.112236341,0.293044904,ANKRD16
0.234984413,0.112214724,0.830054148,ANGPTL2
0.272459479,0.112187703,0.762908586,NBEA
0.200743434,0.112137477,0.90142361,ACSF2
0.307873528,0.112051646,0.710299981,USP14
0.203168612,0.112029394,0.897328882,GART
0.229064115,0.111887614,0.844008271,DNAJC13
0.331525081,0.111733437,0.6765897,C7orf25
