q_Value,Difference,stat,gene_name
0.009331818,0.283355077,1.879181129,CCAR1
0.977891904,-0.005657196,-0.033660168,HOMEZ
0.013398935,-0.272488912,-1.720259298,DHX40
0.013452457,-1.263042768,-1.717759263,FBXO16
0,-1.292980194,-7.802184767,SKA3
0.000384168,0.705505371,3.871203045,DNAJC10
0.002170146,0.49369812,2.608465995,TP53INP2
0.039511396,-0.176679611,-1.301112442,NELFCD
0.00038949,0.466299057,3.642709453,RHOT2
0.00055922,0.510646184,3.435933946,RHOT1
0.525948234,-0.080255508,-0.491393209,SIRT2
0.002185631,-2.160533905,-2.587405434,ASXL1
0.154021771,-0.130716324,-0.844293975,PHC2
0.970578901,0.009440104,0.044880844,MRPL41
0.00270629,0.500250816,2.439635555,NRM
0.899634396,-0.081090609,-0.144998482,C9orf40
0.000276402,0.643140475,4.112219365,GPALPP1
0.001598115,-1.266691844,-2.775418829,KLHL7
0.984024659,0.003309886,0.023893805,PARP9
0.011628334,0.351809502,1.776304641,ETFBKMT
0.526163926,-0.071255684,-0.491099632,HYCC2
0.457729126,0.077303569,0.53959635,RBM12B
0.010217972,0.385583878,1.827950811,SLC35F2
0.224390395,0.106358528,0.734934235,RPAP2
0,-2.039069494,-6.234740997,TMEM183A
0.016871393,0.44334348,1.639454388,PPIL6
0.553885924,-0.11563619,-0.470639121,ZC3H3
0.000202749,0.581013997,4.715332632,PNPLA6
0.039288667,-0.171103795,-1.303114163,SMC5
0.101459384,0.140384038,0.971606503,DDX60
0,-0.792300224,-5.653306266,CMIP
9.69479353680431E-05,0.904959361,4.812189581,PLPP6
0.119243489,0.162635803,0.921876034,IFT20
0.722178925,0.082755407,0.33612592,MICALL2
0.001216084,-0.465632757,-3.011513807,DHX37
0.871331207,0.05612278,0.180178101,AMN1
0.001226686,-0.626372655,-2.962100131,KBTBD2
0.056387683,-1.62729009,-1.170789131,AMOTL1
0.001076448,-0.456345876,-3.078205553,RAVER1
0.008172702,0.261434555,1.929248857,FTSJ3
0.000420701,-0.717354139,-3.789226769,SLX4
0.002121651,0.431976318,2.634225547,TMEM192
0,-1.07869339,-7.41549947,CKAP2L
0.001353069,0.444778442,2.922018372,SRRM1
0.977056932,-0.009158452,-0.035801048,SMAP1
0.006246109,-0.407280604,-2.061730135,DIS3L2
0,0.561309179,5.391246243,SUPV3L1
0.014169549,-0.35976251,-1.695959828,ZNF595
0.193994578,-0.141371409,-0.774312225,GSPT2
0.010648637,-1.186678886,-1.814960617,FANCM
0.000275862,-0.632066091,-4.108989281,ZZZ3
0.479335915,0.072376251,0.524035055,EXOC8
0.000343284,0.801561991,4.006412028,SYTL1
0.005363775,-1.76755174,-2.153076768,TRMT44
0.001187998,-0.52333196,-3.042738606,C1orf174
0.071144993,-0.313129107,-1.090718082,ZNF100
0,-2.435336431,-6.010596047,TCEAL8
0.005049197,0.309343338,2.197859824,THNSL1
