q_Value,Difference,stat,gene_name
0.310286338,0.658591906,0.89897279,SERPINB6
0.859703515,0.077362696,0.234801443,ENAH
0.132440712,0.359555562,1.325212633,PSMB3
0.595941309,0.905739784,0.553242824,MTHFD1L
0.022311466,-0.816978137,-2.416820981,LRMDA
0.911821365,-0.034179052,-0.158939534,VPS11
0.018378721,1.052068392,2.570768263,STOML2
0.160792919,-1.052235921,-1.220194807,ANK3
0.062023513,-1.202741623,-1.753785888,HMGN3
0.163575926,0.647164027,1.212599688,TJP1
0.030560757,-2.671601931,-2.156870079,CYP2D6;CYP2D7
0.324677321,-0.350049973,-0.879258138,DOCK1
0.380064887,-0.976431847,-0.799387097,GPS1
0.09518682,-0.27949206,-1.503725332,AAK1
0.308927674,0.460841179,0.900855807,CD99
0.903607099,0.044755936,0.171725238,GSTZ1
0.974091621,0.012659391,0.053437537,FDXR
0.901183646,0.053748449,0.174496975,RNF213
0.162755452,0.291925748,1.21447606,NAA15
0.367712575,-0.159462611,-0.816054477,GATD3;GATD3B
0.804700906,0.194757144,0.309647505,PIGBOS1
0.025222104,-0.426971753,-2.317480607,KDM4B
0.732029652,0.125457764,0.401436052,DDX46
0.944109524,0.031824748,0.104888284,PPA2
0.86759058,-0.094733238,-0.22402364,EPB41L1
0.927275749,-0.09418424,-0.134840548,RNASEK
0.010478301,1.043694178,3.147524617,HLA-C
0.171955566,0.292750676,1.18739508,RPP21
0.099742857,0.345827421,1.471308399,HLA-A
0.978810395,-0.01838843,-0.045464328,VARS2
0.0159391,-0.575840314,-2.709540317,C4A
0.014485777,1.287013372,2.803927554,HLA-C
0.694581885,-0.13562425,-0.446445555,CYFIP1
0.99135938,-0.006739934,-0.015395684,PON2
0.019841849,-1.460662524,-2.515376205,NSF
0.08923421,-0.911573728,-1.53807917,SH3D19
0.008097561,-1.089959145,-3.958806531,DST
0.049781578,-0.289815267,-1.871047611,EIF4G3
0.031545244,0.731673241,2.131024085,ERVK3-1
0.01275834,0.835461934,2.943111247,SEC24C
0.187332748,-0.816619555,-1.144129018,MMP24OS
0.934367161,-0.144571304,-0.120555784,FERMT2
0.560504133,-0.2229503,-0.592458463,HLA-DQB1
0.007420635,0.878084183,4.446068677,HLA-A
0.007075,2.0738856,6.856202362,HLA-B
0.088450653,0.677281698,1.543854649,HLA-C
0.787992164,0.240158399,0.330921918,TXNRD1
0.014371134,0.95013237,2.814867747,RAB11FIP5
0.007972184,0.599226952,3.816638283,PXN
0.050532765,-1.196187655,-1.866523815,IRAG2
0.44979619,-0.319684347,-0.713987478,GRAMD1B
0.543388554,0.118002256,0.61080923,RALGAPA1
0.331644666,0.235862732,0.869473841,FAM193A
0.232055612,0.227526347,1.037598191,PLEKHA6
0.930391035,0.068691889,0.127889207,DPY19L1
0.010491493,1.707133611,3.176405654,PLCXD2
0.017324433,0.511231105,2.654839112,BAG6
0.581827019,-0.176460584,-0.57003915,DPYSL2
0.103690658,1.614321391,1.453528863,HLA-C
0.487890462,-0.673351606,-0.672318734,PIGT
0.342802611,-0.877132416,-0.854087069,PHLDB2
0.096689295,-0.597646713,-1.490863129,ENSA
0.84843587,-0.222472827,-0.252035283,RPS7
0.025654088,0.778874079,2.295967609,EPB41
0.017403044,1.316802661,2.641523651,BPTF
0.661097106,-0.168273608,-0.484636344,BRAF
0.54493302,0.13370355,0.608934458,ATXN2
0.829980794,-0.102513313,-0.277135506,ACTB
0.994089061,-0.003148397,-0.009975374,RAPGEF2
0.84360357,-0.102956454,-0.259056559,KCTD1
0.745320177,0.535764376,0.384707626,MCTS2
1,0,NaN,QSER1
0.010439604,-1.211329142,-3.245845703,IQSEC1
0.275615909,0.379151662,0.954282186,LARP1B
0.287786736,0.335086823,0.930710952,ANKS1A
0.431543719,0.42620786,0.73326077,VKORC1L1
0.876386141,-0.081757545,-0.210657529,HNRNPL
0.765294411,0.228621165,0.361028634,RAB12
0.127048112,-0.236305873,-1.345293879,MPRIP
0.257185734,0.367539088,0.987784494,EEF1AKMT2
0.958839093,0.048511505,0.08122037,CLUH
0.369394301,-0.247427305,-0.81328633,FAM120A
0.073443934,0.424987157,1.648948318,PDIA4
0.071324917,0.568231265,1.664028203,TSNARE1
0.932504501,0.153501511,0.123289236,LRP8
0.295337763,0.54511865,0.920644259,SPCS1
0.940295212,0.043292363,0.109684417,SAMD8
0.007031056,-2.35881265,-6.817586308,ADK
0.895212687,0.072679838,0.184507959,CAST
0.993355436,-0.00773716,-0.010863423,EIF3E
0.25092888,-0.513911883,-1.000727054,WDR26
0.49219902,-0.159380913,-0.666781396,G3BP2
0.304638975,-0.245342573,-0.906796651,MACROH2A2
0.12132387,0.691248258,1.367498936,DNMT1
0.010197757,0.718871117,3.288878093,ACTN1
0.040645106,1.60376517,1.992424246,EIF3E
0.091739078,0.319280942,1.524571748,IMPDH2
0.605778587,-0.279775302,-0.543134836,PRPF40A
0.377043331,0.53635025,0.803115776,IFIT3
0.813216743,0.149512927,0.300103193,OAS1
0.009246305,0.976025581,3.594861458,CTSZ
0.21310633,-0.198723475,-1.079948912,CIC
0.056228148,-0.645974795,-1.803049852,LOC122539214
0.005846154,2.019119581,5.926233296,
0.010846154,2.152544975,9.417557372,IFIT5
0.025651856,-1.099632899,-2.29425401,PTPA
0.157205195,-0.399972598,-1.23448662,PKM
0.859249508,-0.06362311,-0.235450165,MYCBP2
0.066850308,1.246730804,1.700140353,ACTN1
0.01360241,-0.93296051,-2.846490605,SACS
0.023943045,0.606758436,2.356564857,MAP4
0.698113317,-0.347165426,-0.442753129,MGA
0.34612748,0.249292056,0.848914636,SEC16A
0.019757723,-1.747300466,-2.512692306,GOLGA2
0.141117269,-0.284850756,-1.291147082,EIF4E2
0.080461929,-0.879638672,-1.602747183,USP54
0.01270936,-0.76413854,-2.954157649,PLEC
0.081760555,0.224908829,1.594926208,NKRF
0.144184314,1.166172345,1.279964492,CDV3
0.84366741,-0.083459854,-0.25909663,TANC2
0.068641892,1.972337246,1.685728148,ATE1
0.010066286,1.002157211,3.463354835,CD55
0.037104728,-0.575289408,-2.047994801,G6PD
0.115833602,-0.462742488,-1.392329966,LIMS1
0.470732636,-0.755530993,-0.691621724,SFPQ
0.036191499,-1.324273745,-2.065369682,MSN;RDX
1,0,NaN,LRRFIP1
