Gene names,F1,F2,Category
,4.088010788,3.432348887,NA
RBM33,2.735883713,3.431098302,NA
TRRAP,4.335708618,3.41673851,NA
GLYR1,3.9618028,3.411708832,NA
ZNF687,3.796090444,3.405519485,NA
KIAA1551,0.407108307,3.386794408,NA
ASXL2,2.798442841,3.347575506,NA
MCM6,3.217075348,3.317333857,NA
ZKSCAN4,3.287260691,3.313779195,NA
SUMO3;SUMO2;SUMO4,2.191386541,3.310718536,NA
TBL3,3.104422887,3.310438156,NA
MCM4,3.252484639,3.278330485,NA
HNRNPC;HNRNPCL2;HNRNPCL3;HNRNPCL4;HNRNPCL1,3.26543045,3.275810877,NA
RFC1,3.014426549,3.274539948,NA
TUBB,2.963675181,3.221857707,NA
WAPAL,3.135155996,3.2217261,NA
MCM2,2.78867658,3.216464361,NA
H2AFX;HIST1H2AA;HIST2H2AB,3.440117518,3.215017955,NA
DNAJA1,2.665167491,3.200922012,NA
SRSF1,3.447020849,3.194997787,NA
SSRP1,2.330260595,3.194742839,NA
ABCF2,2.16956075,3.188375473,NA
BAP1,2.725142161,3.179725647,NA
CBX8,3.714102427,3.148979823,NA
KDM2A,2.197720846,3.137288411,NA
WDR33,4.158004125,3.128700892,NA
ZNF280D,2.85314242,3.120311737,NA
UQCRC1,2.419461568,3.118412654,NA
CEBPB,2.335672379,3.110214233,NA
PRMT1,3.144708633,3.108112971,NA
PDS5A,2.6653862,3.104544322,NA
TBL1XR1;TBL1X,3.614196142,3.099121094,NA
SRP14,3.364337285,3.09849294,NA
BAZ1B,3.277606964,3.090361277,NA
BACH1,2.979215622,3.085944494,NA
MECOM,4.949676514,3.053710302,NA
CHD4,2.924362183,3.053043365,NA
MYO1C,3.200052897,3.052808762,NA
RBBP4,3.123600006,3.047609965,NA
UBN1,2.181819916,3.045981725,NA
SFN,3.966505051,3.04047521,NA
HCFC1,2.811513265,3.029907227,NA
RPL35A,4.354557037,3.027517319,NA
NIPBL,3.030536016,3.027476629,NA
NUP188,2.439566294,3.018454234,NA
ZNF24,2.068652471,3.004131953,NA
BRD9,0.824009577,3.002883911,NA
ZNF518B,3.727423986,2.997759501,NA
PSIP1,3.094451269,2.995800654,NA
MAFG,3.448438009,2.994119008,NA
CTBP2,3.249120076,2.988882065,NA
WDR18,2.309096018,2.987996419,NA
SUPT16H,3.055336634,2.979479472,NA
DCAF13,2.380370458,2.967140834,NA
DPF2,4.43859609,2.96404012,NA
HDGFRP2,3.022274653,2.940233866,NA
PARN,2.564901988,2.93888092,NA
CXorf56,3.109797796,2.934306463,NA
APOC3,3.632502238,2.921185811,NA
MAX,2.654363632,2.9114151,NA
PHC2,3.551352183,2.910153707,NA
RUNX2,2.697085063,2.908461889,NA
KMT2D,2.359983444,2.885344823,NA
YWHAQ,3.046496073,2.885186513,NA
RGPD3;RGPD4,2.2684714,2.881043752,NA
NFIL3,3.563857396,2.877141953,NA
ORC3,2.580055873,2.875763575,NA
HMGA1,3.385953267,2.865998586,NA
TCERG1,2.648874919,2.843612671,NA
GNB2;GNB4,2.202630361,2.825562159,NA
ZNF451,2.499965032,2.820926666,NA
MED12;TNRC11,3.352633794,2.820269267,NA
HNRNPF,2.461280187,2.811073303,NA
HK1,2.219835917,2.810527802,NA
TMEM205,2.335521698,2.801160812,NA
GLTSCR1,2.660147349,2.784114202,NA
TAF4,3.095188777,2.783957163,NA
CPSF7,2.192866007,2.774733861,NA
PDIA3,2.990404765,2.769802094,NA
SLC16A3,2.964745839,2.758043289,NA
RBM15,2.369334539,2.738660177,NA
EXOSC10,2.716873169,2.726079941,NA
SEC24C,2.754363378,2.716452916,NA
PRPF6,2.613604228,2.708859762,NA
ZBTB39,2.457682927,2.708530426,NA
HDAC2,2.41901207,2.700569789,NA
UHRF1,2.369193395,2.698135376,NA
SPTY2D1,5.302879333,2.696353912,NA
U2AF1,2.462537766,2.691158295,NA
WDR75,2.504781087,2.690371831,NA
IMPDH2,2.890672048,2.677374522,NA
GTF2I,2.02406311,2.665121078,NA
UBTF,2.787361145,2.662035624,NA
KARS,2.421604792,2.661419551,NA
SPTBN1,4.145515442,2.660997391,NA
POLR1E,2.317433675,2.657899221,NA
PBRM1,0.594099045,2.655354818,NA
GNL3,2.176000595,2.637810389,NA
BAZ1A,1.852771123,2.636822383,NA
UQCRC2,2.295303345,2.614355087,NA
ARCN1,2.996212641,2.592480977,NA
NCBP1,0.1913414,2.581874212,NA
SMU1,2.231775284,2.573918025,NA
GRHL2,0.709704717,2.563777288,NA
POLR1A,2.287354787,2.54880778,NA
PCNP,2.438398997,2.543722788,NA
LARS,2.090317408,2.537339528,NA
DDX49,2.545621872,2.530094147,NA
CENPC,2.865825017,2.530029933,NA
RBM22,1.866124471,2.527910233,NA
