q_Value,Difference,stat,gene_name
0.007322034,1.574965477,6.889640817,GULP1
0.16216446,0.558523496,1.459370299,GLS
0.050214286,4.8052845,2.547764479,HNRNPD
0.121151583,-0.494438489,-1.684445735,HUWE1
0.258078711,0.765673637,1.123309142,H1-10
0.468903746,0.161677996,0.748755218,USP9X
0.40744991,-0.51941363,-0.835513668,SRRM1
0.179897843,0.310349464,1.370419381,EPS15
0.037445411,-0.421581268,-2.915498941,EPB41L2
0.683413911,-0.390177091,-0.481504914,PPP2R1A
0.21440633,0.952490807,1.246517431,HMGA1
0.577362306,-0.281476657,-0.613113825,HK1
0.695544579,0.291844368,0.465594893,NPLOC4
0.43988987,0.296788216,0.788323434,KHDRBS3
0.200265111,0.204703649,1.293630365,FXR2
0.477495525,0.256157875,0.735593674,VASP
0.053573956,2.037380536,2.486015758,NLRX1
0.508120764,0.684159279,0.696068398,UBAP2L
0.391996331,-0.426488241,-0.860148093,ADO
0.01543301,0.91253535,3.967652326,RBM47
0.423394046,0.160012245,0.810849356,IFT56
0.527127525,0.415337563,0.672603187,TMEM129
0.016341556,1.141324361,3.918134708,E2F8
0.540293412,0.127963384,0.656499253,UBA6
0.029512852,-1.232631365,-3.212634631,ESYT2
0.894301701,-0.090396881,-0.181861602,ESYT2
0.020150943,0.709318161,3.709337275,MED19
0.235070862,0.197457314,1.180661442,BLTP3B
0.057056554,-0.726654689,-2.400589243,SHTN1
0.260873143,0.514946938,1.116096406,TMEM223
0.503223601,-0.247473081,-0.701556954,SHISA3
0.378424265,0.468999545,0.882628419,TMEM120B
0.857631543,0.066797574,0.233929026,ARHGAP10
0.666581576,-0.333879789,-0.500554054,ANO9
0.318546275,-0.797642072,-0.99298282,SLC22A23
0.089277264,0.473745028,1.947977536,ARHGEF37
0.048369748,0.451574326,2.587251569,MEX3A
0.720964238,0.230242411,0.433012804,ILVBL
0.350010109,-0.772041321,-0.930948001,C1orf226
0.498306324,0.187481244,0.706944544,NDUFAF8
0.303004862,0.218548775,1.025576955,PLEKHG3
0.915590364,-0.046595256,-0.151312805,SH3PXD2B
0.772867555,0.078813871,0.360793615,MACROD2
0.105989322,0.396401405,1.801872534,PTPDC1
0.752287963,-0.092301051,-0.394366534,BCLAF3
0.391489908,0.127235413,0.860875684,NBAS
0.210818205,0.326430639,1.256924609,TARS3
0.100852792,-0.503083547,-1.839650651,HYKK
0.467755212,-0.57527256,-0.74999503,FAM234B
0.879582624,0.0392917,0.203833202,TYW5
0.008411609,-0.662454923,-4.477977112,DENND3
0.068671484,-1.713323275,-2.192283166,FUOM
0.200832321,0.620857875,1.290899519,TMEM131L
0.608565739,-0.127103806,-0.573293608,VWA8
0.41829535,-0.242406527,-0.820085539,SBNO1
0.313325057,0.294718424,1.002823858,CRPPA
0.737482894,-0.14153417,-0.412650758,FAM221A
