q_Value,Difference,stat,gene_name
0.00219076,-2.591380119,-3.293919265,SEL1L3
0.000189893,-2.580814362,-4.734379033,ZNF584
0.000624,-2.576681455,-3.869630571,TLE5
0.003531695,-2.572540601,-3.009423482,EXTL2
0.000226691,-2.569668134,-5.132929486,ARMC5
0.000215278,-2.563505491,-5.01062756,CUEDC2
0.000303922,-2.549593608,-5.747949975,UNG
0.000324607,-2.546169599,-4.414636271,PTOV1
0.000821818,-2.543894768,-3.677241352,SGO1
0,-2.541869164,-10.73598747,ADGRL1
0.000824818,-2.541780154,-3.687514938,EFNB3
0.000227941,-2.541279157,-5.140458972,FAT1
0.002609455,-2.538097064,-3.242385519,SCRIB
0.000187879,-2.527327855,-4.716086393,FADS1
0,-2.520793597,-7.87790456,EIF4EBP2
0.005059789,-2.519866943,-2.821106789,APEX2
0.0001984,-2.518984795,-4.830889122,TRHDE
0.000269565,-2.504248937,-5.451088177,SSNA1
0,-2.491133372,-10.88608364,RAD54B
0.041950307,-2.485583941,-1.714653142,PRR3
0.00032376,-2.480935733,-4.405342832,DNAL1
0.000192248,-2.480718295,-4.78404141,ZNF445
0.000233962,-2.479070346,-5.18847139,RTKN2
0.000222222,-2.477514267,-5.066792549,DDX11
0.001800933,-2.47750473,-3.365968899,PIAS4
0.001608347,-2.476331711,-3.429531109,XRCC3
0,-2.476051013,-7.094530827,SLC35E1
0,-2.463824272,-9.438597435,FIGNL1
0,-2.460490227,-8.187984245,AURKB
0.000251012,-2.457361857,-5.3155011,NRIP1
0.000241245,-2.456456502,-5.237901919,CDT1
0,-2.455504417,-7.799520636,KIF22
0.002943652,-2.453563054,-3.098434984,ROBO1
0.000484848,-2.448507309,-4.090492359,BHLHE41
0,-2.437278748,-6.727396079,TROAP
0.034273605,-2.426740328,-1.810312073,CDCA7L
0,-2.423140526,-13.24954566,SNX17
0.009743639,-2.402840932,-2.453934584,SETX
0.000265525,-2.401088715,-5.414201083,PLEKHH3
0.000819583,-2.397267342,-3.666663505,AEBP2
0.032684662,-2.393591881,-1.833360461,LRRCC1
0.000242661,-2.389795939,-5.243306462,KIAA0586
0.000305419,-2.388669968,-5.754757264,FANCB
0,-2.383147558,-7.395989607,ZNF428
0.000298077,-2.380866687,-5.702665678,INCENP
0.000349296,-2.379605293,-6.015354844,DONSON
0,-2.376297951,-9.467835847,CASP2
0.000237548,-2.368708928,-5.211692184,ADAM19
0.002751412,-2.366841316,-3.190711082,SNAPC4
0,-2.365631104,-10.27216063,AURKA
0.000219858,-2.365267754,-5.045881348,ANKRD39
0,-2.363666852,-6.041458549,PIAS3
0.000860952,-2.36140728,-3.763114259,DBF4
0.000556375,-2.357856433,-3.970168516,ATXN7L3B
0.00655914,-2.350646337,-2.647603666,ZNF770
0,-2.350322088,-8.081434387,C15orf39
0.000865072,-2.344319344,-3.77276671,PRC1
0.000248497,-2.343602498,-5.29625594,SDF4
0.000225045,-2.343387604,-5.114243228,SIMC1
0.002079511,-2.34284687,-3.33244127,CKAP2L
0.000214905,-2.340688705,-4.998563561,KLHL15
0,-2.33804512,-10.60759108,APOL2
0,-2.333970706,-8.819301886,RTEL1
0.000293839,-2.330768267,-4.194545136,TIGD5
0.001070671,-2.328332265,-3.614253413,DNA2
0,-2.326655706,-7.27943688,LTO1
0.000803165,-2.321477572,-3.845027357,NAP1L3
0.002939661,-2.31666851,-3.096749443,CCDC34
0,-2.314003944,-10.82726187,WDR76
0,-2.3072656,-8.99625039,CDC45
0,-2.306745529,-10.32361319,ETV4
0.013965058,-2.3021698,-2.238538897,COPRS
0.001575472,-2.292685827,-3.388467387,NEK6
0.000205298,-2.290709178,-4.907575928,TSTD2
0.000228361,-2.287932714,-5.141376519,CDC7
0,-2.284334183,-6.123262088,TRIM7
0.000290398,-2.283374151,-5.598020885,CDCA8
0.000396733,-2.283288956,-4.175010248,RLIM
0,-2.280877749,-9.241413246,TENT4A
0.000799213,-2.273366928,-3.836268521,SERF2
0,-2.269484838,-8.886409268,ETNK1
0,-2.265122732,-10.77735184,HAS3
0.000174648,-2.256085078,-4.547923273,SPDL1
0,-2.255256017,-14.15886279,UHRF1
0.000206667,-2.237823486,-4.924575011,ANKRD10
0.001494983,-2.236660004,-3.504883732,KAT14
0.004391489,-2.23491478,-2.886098987,UQCC5
0.001066901,-2.226448059,-3.606655165,BUB1
0.009900383,-2.223471642,-2.4477606,DNM2
0,-2.220664978,-12.194648,CDK1
0.033792931,-2.217202504,-1.815484351,FNIP1
0,-2.217194557,-12.07999758,PPP2R1B
0,-2.214161237,-6.373736953,NTSR1
